des_time,des_pos,des_vel,des_tau,meas_time,meas_pos,meas_vel,meas_tau
8.399999999999999689e-01,3.811166002146149645e-01,2.046117133537511457e+00,2.559515505952183023e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.499999999999999778e-01,4.008436128713168678e-01,1.897767331747651998e+00,2.316504316885875880e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.599999999999999867e-01,4.190180121705319172e-01,1.735734155485948005e+00,2.061586731190114818e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.699999999999999956e-01,4.355060154611279377e-01,1.560635623425228768e+00,1.796057501443754312e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.800000000000000044e-01,4.501803790254202409e-01,1.373160707017921700e+00,1.521240352556785469e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.900000000000000133e-01,4.629210874396507691e-01,1.174065378039846674e+00,1.238498215634921351e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.000000000000000222e-01,4.736160070457232640e-01,9.641693970063811570e-01,9.492006867525775160e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.100000000000000311e-01,4.821615069050969038e-01,7.443530288571365006e-01,6.547343004467676142e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.200000000000000400e-01,4.884630510618763188e-01,5.155545896990878507e-01,3.564905924668629322e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.300000000000000488e-01,4.924357680940859017e-01,2.787683513234877064e-01,5.585236360876245920e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.400000000000000577e-01,4.940050010857370277e-01,3.504270762360117697e-02,-2.457856159378045413e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.500000000000000666e-01,4.931068437049446751e-01,-2.145207908733211266e-01,-5.470562647870239603e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.599999999999999645e-01,4.896886642079376073e-01,-4.687689122247440388e-01,-8.465881674901694076e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.699999999999999734e-01,4.837096187913969558e-01,-7.264974298725359603e-01,-1.143027306266929610e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.799999999999999822e-01,4.751411556658379776e-01,-9.864523273499478107e-01,-1.435034786337314738e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.899999999999999911e-01,4.639675060285607389e-01,-1.247331252431437054e+00,-1.721274950100521117e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,4.501861592433302195e-01,-1.507785262084025746e+00,-2.000430951816754455e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.010000000000000009e+00,4.338083152863792535e-01,-1.766421664192139751e+00,-2.271194577695118344e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.020000000000000018e+00,4.148593049514660569e-01,-2.021807661803635803e+00,-2.532277694166868098e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.030000000000000027e+00,3.933789664755015791e-01,-2.272475457887509709e+00,-2.782402609397874649e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.040000000000000036e+00,3.694219652105083518e-01,-2.516928567729457722e+00,-3.020306334828312345e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.050000000000000044e+00,3.430580421320722495e-01,-2.753649756416529648e+00,-3.244751756883688998e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.060000000000000053e+00,3.143721738188455794e-01,-2.981110812711849967e+00,-3.454524474047293126e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.070000000000000062e+00,2.834646269722516099e-01,-3.197783859334226264e+00,-3.648445563826430593e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
